title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,sentiment,genres_list
Ariel,movie,"Comedy, Crime, Romance",1988.0,tt0094675,7.4,9138.0,High,"['Comedy', 'Crime', 'Romance']"
Shadows in Paradise,movie,"Comedy, Drama, Music",1986.0,tt0092149,7.4,7960.0,High,"['Comedy', 'Drama', 'Music']"
Forrest Gump,movie,"Drama, Romance",1994.0,tt0109830,8.8,2372595.0,High,"['Drama', 'Romance']"
American Beauty,movie,Drama,1999.0,tt0169547,8.3,1247006.0,High,['Drama']
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997.0,tt0119116,7.6,526206.0,High,"['Action', 'Adventure', 'Sci-Fi']"
Jarhead,movie,"Biography, Drama, War",2005.0,tt0418763,7.0,215242.0,High,"['Biography', 'Drama', 'War']"
Unforgiven,movie,"Drama, Western",1992.0,tt0105695,8.2,453511.0,High,"['Drama', 'Western']"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,tt0338013,8.3,1133941.0,High,"['Drama', 'Romance', 'Sci-Fi']"
Amores Perros,movie,"Drama, Thriller",2000.0,tt0245712,8.0,266629.0,High,"['Drama', 'Thriller']"
A History of Violence,movie,"Action, Crime, Drama",2005.0,tt0399146,7.4,263965.0,High,"['Action', 'Crime', 'Drama']"
Talk to Her,movie,"Drama, Mystery, Romance",2002.0,tt0287467,7.9,119861.0,High,"['Drama', 'Mystery', 'Romance']"
8 Mile,movie,"Drama, Music",2002.0,tt0298203,7.2,337508.0,High,"['Drama', 'Music']"
Paradise Now,movie,"Crime, Drama, Thriller",2005.0,tt0445620,7.4,24494.0,High,"['Crime', 'Drama', 'Thriller']"
Million Dollar Baby,movie,"Drama, Sport",2004.0,tt0405159,8.1,745115.0,High,"['Drama', 'Sport']"
Billy Elliot,movie,"Drama, Music",2000.0,tt0249462,7.7,147791.0,High,"['Drama', 'Music']"
American History X,movie,"Crime, Drama",1998.0,tt0120586,8.5,1228909.0,High,"['Crime', 'Drama']"
Mars Attacks!,movie,"Comedy, Sci-Fi",1996.0,tt0116996,6.4,251803.0,Neutral,"['Comedy', 'Sci-Fi']"
Before Sunrise,movie,"Comedy, Drama, Romance",1995.0,tt0112471,8.1,357946.0,High,"['Comedy', 'Drama', 'Romance']"
Memento,movie,"Mystery, Thriller",2000.0,tt0209144,8.4,1375752.0,High,"['Mystery', 'Thriller']"
Hero,movie,"Action, Adventure, Drama",2002.0,tt0299977,7.9,190589.0,High,"['Action', 'Adventure', 'Drama']"
Before Sunset,movie,"Drama, Romance",2004.0,tt0381681,8.1,301300.0,High,"['Drama', 'Romance']"
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,tt0087544,8.0,190309.0,High,"['Adventure', 'Animation', 'Sci-Fi']"
Open Water,movie,"Adventure, Drama, Horror",2003.0,tt0374102,5.8,57840.0,Neutral,"['Adventure', 'Drama', 'Horror']"
Raiders of the Lost Ark,movie,"Action, Adventure",1981.0,tt0082971,8.4,1071938.0,High,"['Action', 'Adventure']"
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984.0,tt0087469,7.5,551114.0,High,"['Action', 'Adventure']"
Dirty Dancing,movie,"Drama, Music, Romance",1987.0,tt0092890,7.1,268764.0,High,"['Drama', 'Music', 'Romance']"
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989.0,tt0097576,8.2,836819.0,High,"['Action', 'Adventure']"
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984.0,tt0086960,7.4,223619.0,High,"['Action', 'Comedy', 'Crime']"
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987.0,tt0092644,6.6,143257.0,Neutral,"['Action', 'Comedy', 'Crime']"
Gladiator,movie,"Action, Adventure, Drama",2000.0,tt0172495,8.5,1754032.0,High,"['Action', 'Adventure', 'Drama']"
All About My Mother,movie,"Comedy, Drama, Romance",1999.0,tt0185125,7.8,106485.0,High,"['Comedy', 'Drama', 'Romance']"
Léon: The Professional,movie,"Action, Crime, Drama",1994.0,tt0110413,8.5,1299890.0,High,"['Action', 'Crime', 'Drama']"
Open Hearts,movie,"Drama, Romance",2002.0,tt0315543,7.5,11276.0,High,"['Drama', 'Romance']"
Taxi Driver,movie,"Crime, Drama",1976.0,tt0075314,8.2,975870.0,High,"['Crime', 'Drama']"
Run Lola Run,movie,"Action, Crime, Thriller",1998.0,tt0130827,7.6,213140.0,High,"['Action', 'Crime', 'Thriller']"
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985.0,tt0088763,8.5,1373807.0,High,"['Adventure', 'Comedy', 'Sci-Fi']"
Snatch,movie,"Comedy, Crime",2000.0,tt0208092,8.2,944148.0,High,"['Comedy', 'Crime']"
Scarface,movie,"Crime, Drama",1983.0,tt0086250,8.3,962400.0,High,"['Crime', 'Drama']"
Italian for Beginners,movie,"Comedy, Drama, Romance",2000.0,tt0243862,7.0,14177.0,High,"['Comedy', 'Drama', 'Romance']"
The Untouchables,movie,"Crime, Drama, Thriller",1987.0,tt0094226,7.8,342635.0,High,"['Crime', 'Drama', 'Thriller']"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,tt0367594,6.7,550060.0,Neutral,"['Adventure', 'Comedy', 'Family']"
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001.0,tt0120737,8.9,2102630.0,High,"['Adventure', 'Drama', 'Fantasy']"
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002.0,tt0167261,8.8,1868677.0,High,"['Adventure', 'Drama', 'Fantasy']"
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003.0,tt0167260,9.0,2072735.0,High,"['Adventure', 'Drama', 'Fantasy']"
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997.0,tt0119698,8.3,458845.0,High,"['Adventure', 'Animation', 'Fantasy']"
Spirited Away,movie,"Adventure, Animation, Family",2001.0,tt0245429,8.6,906835.0,High,"['Adventure', 'Animation', 'Family']"
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000.0,tt0190590,7.7,340867.0,High,"['Adventure', 'Comedy', 'Crime']"
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993.0,tt0107048,8.0,715055.0,High,"['Comedy', 'Drama', 'Fantasy']"
Bad Education,movie,"Crime, Drama",2004.0,tt0275491,7.4,64851.0,High,"['Crime', 'Drama']"
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,tt0246578,8.0,880468.0,High,"['Drama', 'Mystery', 'Sci-Fi']"
Brokeback Mountain,movie,"Drama, Romance",2005.0,tt0388795,7.7,400241.0,High,"['Drama', 'Romance']"
Akira,movie,"Animation, Drama, Fantasy",1988.0,tt0094625,8.0,215252.0,High,"['Animation', 'Drama', 'Fantasy']"
48 Hrs.,movie,"Action, Comedy, Crime",1982.0,tt0083511,6.9,89509.0,Neutral,"['Action', 'Comedy', 'Crime']"
Lost in Translation,movie,"Comedy, Drama",2003.0,tt0335266,7.7,509921.0,High,"['Comedy', 'Drama']"
The Dark Knight,movie,"Action, Crime, Drama",2008.0,tt0468569,9.0,3012616.0,High,"['Action', 'Crime', 'Drama']"
Ocean's Eleven,movie,"Crime, Thriller",2001.0,tt0240772,7.7,644335.0,High,"['Crime', 'Thriller']"
Ocean's Twelve,movie,"Crime, Thriller",2004.0,tt0349903,6.5,425774.0,Neutral,"['Crime', 'Thriller']"
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989.0,tt0096874,7.8,596655.0,High,"['Adventure', 'Comedy', 'Sci-Fi']"
Saw,movie,"Horror, Mystery, Thriller",2004.0,tt0387564,7.6,488411.0,High,"['Horror', 'Mystery', 'Thriller']"
Minority Report,movie,"Action, Crime, Mystery",2002.0,tt0181689,7.6,601345.0,High,"['Action', 'Crime', 'Mystery']"
Jackie Brown,movie,"Crime, Drama, Thriller",1997.0,tt0119396,7.5,389084.0,High,"['Crime', 'Drama', 'Thriller']"
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014.0,tt0458481,6.5,174536.0,Neutral,"['Action', 'Crime', 'Thriller']"
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986.0,tt0091605,7.7,122482.0,High,"['Drama', 'Mystery', 'Thriller']"
Amélie,movie,"Comedy, Romance",2001.0,tt0211915,8.3,817146.0,High,"['Comedy', 'Romance']"
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990.0,tt0099088,7.5,499523.0,High,"['Adventure', 'Comedy', 'Sci-Fi']"
Saw III,movie,"Horror, Mystery, Thriller",2006.0,tt0489270,6.2,220739.0,Neutral,"['Horror', 'Mystery', 'Thriller']"
Saw II,movie,"Horror, Mystery",2005.0,tt0432348,6.6,287227.0,Neutral,"['Horror', 'Mystery']"
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008.0,tt0367882,6.2,502385.0,Neutral,"['Action', 'Adventure']"
Volver,movie,"Comedy, Drama",2006.0,tt0441909,7.6,110045.0,High,"['Comedy', 'Drama']"
Syriana,movie,"Drama, Thriller",2005.0,tt0365737,6.9,136341.0,Neutral,"['Drama', 'Thriller']"
Stand by Me,movie,"Adventure, Comedy, Drama",1986.0,tt0092005,8.1,463194.0,High,"['Adventure', 'Comedy', 'Drama']"
The Godfather,movie,"Crime, Drama",1972.0,tt0068646,9.2,2119235.0,High,"['Crime', 'Drama']"
The Godfather Part II,movie,"Crime, Drama",1974.0,tt0071562,9.0,1425748.0,High,"['Crime', 'Drama']"
In China They Eat Dogs,movie,"Action, Comedy, Crime",1999.0,tt0180748,7.3,23792.0,High,"['Action', 'Comedy', 'Crime']"
Ghost,movie,"Drama, Fantasy, Romance",1990.0,tt0099653,7.1,247432.0,High,"['Drama', 'Fantasy', 'Romance']"
Willy Wonka & the Chocolate Factory,movie,"Adventure, Comedy, Family",1971.0,tt0067992,7.8,236566.0,High,"['Adventure', 'Comedy', 'Family']"
King Kong,movie,"Action, Adventure, Romance",2005.0,tt0360717,7.2,458653.0,High,"['Action', 'Adventure', 'Romance']"
Live Flesh,movie,Drama,1997.0,tt0118819,7.3,34728.0,High,['Drama']
Batman,movie,"Action, Adventure",1989.0,tt0096895,7.5,418900.0,High,"['Action', 'Adventure']"
Batman Begins,movie,"Action, Crime, Drama",2005.0,tt0372784,8.2,1642773.0,High,"['Action', 'Crime', 'Drama']"
The Shawshank Redemption,movie,Drama,1994.0,tt0111161,9.3,3035835.0,High,['Drama']
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,tt0103064,8.6,1229183.0,High,"['Action', 'Adventure', 'Sci-Fi']"
A River Runs Through It,movie,Drama,1992.0,tt0105265,7.2,67668.0,High,['Drama']
Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",2003.0,tt0181852,6.3,427824.0,Neutral,"['Action', 'Sci-Fi']"
Meet Joe Black,movie,"Drama, Fantasy, Romance",1998.0,tt0119643,7.2,281956.0,High,"['Drama', 'Fantasy', 'Romance']"
Ocean's Thirteen,movie,"Crime, Thriller",2007.0,tt0496806,6.9,376921.0,Neutral,"['Crime', 'Thriller']"
Swimming Pool,movie,"Crime, Drama, Mystery",2003.0,tt0324133,6.7,49921.0,Neutral,"['Crime', 'Drama', 'Mystery']"
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994.0,tt0109254,5.5,97383.0,Neutral,"['Action', 'Comedy', 'Crime']"
"Rome, Open City",movie,"Drama, Thriller, War",1945.0,tt0038890,8.0,31967.0,High,"['Drama', 'Thriller', 'War']"
Bruce Almighty,movie,"Comedy, Fantasy",2003.0,tt0315327,6.8,451834.0,Neutral,"['Comedy', 'Fantasy']"
Mystic River,movie,"Crime, Drama, Mystery",2003.0,tt0327056,7.9,503116.0,High,"['Crime', 'Drama', 'Mystery']"
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,tt0107290,8.2,1116199.0,High,"['Action', 'Adventure', 'Sci-Fi']"
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997.0,tt0119567,6.6,458387.0,Neutral,"['Action', 'Adventure', 'Sci-Fi']"
